target,email,project,why_them,ask,last_contact,reply_status,next_action,follow_up_date,outcome,evidence,opt_out_or_cooldown
Aesign Engineering,aesignenggservices@gmail.com,NeuroCAD,"CAD/engineering services with startup/industrial exposure","Test one constrained AI-to-CAD alpha workflow",2026-08-23T04:51:09-04:00,SENT_AWAITING_REPLY,"Wait; if positive, schedule bounded one-part test",2026-08-26,NONE_VERIFIED,"Gmail thread recorded",COOLDOWN
Concorde Engineering,sivakumar@concordeengg.com,NeuroCAD,"Product design, design review, tooling and manufacturing planning","Test NeuroCAD on one simple part",2026-08-23T04:51:03-04:00,SENT_AWAITING_REPLY,"Wait; if positive, schedule bounded one-part test",2026-08-26,NONE_VERIFIED,"Gmail thread recorded",COOLDOWN
Isogon,info@isogon.in,NeuroCAD,"CAD/FEA/prototyping/fabrication workflow fit","External CAD/FEA engineer stress test",2026-08-23T04:50:56-04:00,SENT_AWAITING_REPLY,"Wait; if positive, run bounded test and capture failures",2026-08-26,NONE_VERIFIED,"Gmail thread recorded",COOLDOWN
COPES,rajesh.d@copes-tech.com,NeuroCAD,"Product design, DFMEA, GD&T and production engineering fit","Test one real product-design workflow",2026-08-23T04:50:47-04:00,SENT_AWAITING_REPLY,"Wait; if positive, run bounded test and capture evidence",2026-08-26,NONE_VERIFIED,"Gmail thread recorded",COOLDOWN
Pure Machine Design,info@puremachinedesign.com,NeuroCAD,"Custom machine design, automation and product design fit","Try to break NeuroCAD on a bounded CAD task",2026-08-23T04:50:36-04:00,SENT_AWAITING_REPLY,"Wait; if positive, run bounded test",2026-08-26,NONE_VERIFIED,"Gmail thread recorded",COOLDOWN
Epsilon Engineering,info@epsilon-engg.com,NeuroCAD,"Mechanical CAD engineering fit","15-minute mechanical CAD pilot",2026-08-23T04:50:31-04:00,SENT_AWAITING_REPLY,"Wait; if positive, run 15-minute pilot",2026-08-26,NONE_VERIFIED,"Gmail thread recorded",COOLDOWN
Koios,info@koiosengg.com,NeuroCAD,"Machine components and product-design workflow fit","Stress-test AI-to-parametric-CAD alpha",2026-08-23T04:50:22-04:00,SENT_AWAITING_REPLY,"Wait; if positive, run bounded test",2026-08-26,NONE_VERIFIED,"Gmail thread recorded",COOLDOWN
Madox,info@madox.in,NeuroCAD,"Conceptual design, CAD/detailing, simulation and prototyping fit","External CAD-engineer alpha test",2026-08-23T04:50:00-04:00,SENT_AWAITING_REPLY,"Wait; if positive, run bounded test",2026-08-26,NONE_VERIFIED,"Gmail thread recorded",COOLDOWN
VAG Engineering,guru.sh@vagengineering.in,NeuroCAD,"Parametric 3D modeling, assemblies and reverse-engineering fit","Stress-test parametric CAD workflows",2026-08-23T04:49:48-04:00,SENT_AWAITING_REPLY,"Wait; if positive, run bounded test",2026-08-26,NONE_VERIFIED,"Gmail thread recorded",COOLDOWN
EcoRobo,sales@ecorobo.in,NeuroCAD,"Mechanical design, product development, prototyping and mechatronics fit","Try constrained AI-to-CAD alpha",2026-08-23T04:49:37-04:00,SENT_AWAITING_REPLY,"Wait; if positive, run bounded test",2026-08-26,NONE_VERIFIED,"Gmail thread recorded",COOLDOWN
Yantrix,yantrixtechnologies@gmail.com,NeuroCAD,"Engineering team suitable for real CAD prompt testing","Test NeuroCAD Alpha on real CAD prompts",2026-08-23T04:47:35-04:00,SENT_AWAITING_REPLY,"Wait; if positive, run design-partner test",2026-08-26,NONE_VERIFIED,"Gmail thread recorded",COOLDOWN
CM Techno,enquiry@cmtechno.in,NeuroCAD,"Practicing mechanical-engineering team fit","Engineering-team feedback request",2026-08-23T04:47:24-04:00,SENT_AWAITING_REPLY,"Wait; if positive, run bounded test",2026-08-26,NONE_VERIFIED,"Gmail thread recorded",COOLDOWN
